TRANS_DATE,DIA,SPY,QQQ,GM,MSFT,R_DIA,R_SPY,R_QQQ,R_GM,R_MSFT
20030429,85.0938,91.7813,27.7188,36.2813,25.7813,,,,,
20030430,84.8438,91.9063,27.4375,36.0313,25.5313,,,,,
20030501,84.5938,91.9688,27.6875,35.5000,25.7188,,,,,
20030502,85.7813,93.1875,28.2500,35.7813,26.1250,,,,,
20030505,85.5000,93.0000,28.2500,35.7188,25.8438,,,,,
20030506,85.9688,93.9063,28.5938,36.2188,26.3750,,,,,
20030507,85.8438,93.3750,28.2813,36.0625,25.9688,,,,,
20030508,85.1250,92.4375,27.7500,35.7500,25.7500,,,,,
20030509,86.1563,93.7188,28.4063,35.9688,26.3438,,,,,
20030512,87.3438,94.8438,28.8125,36.6875,26.1875,,,,,
20030513,87.0313,94.6875,28.6563,36.2813,25.9688,,,,,
20030514,86.8125,94.5000,28.5938,35.9063,25.6250,,,,,
20030515,87.3125,95.0000,28.8750,34.8750,25.8125,,,,,
20030516,86.9688,94.8438,28.6875,34.4063,25.5625,,,,,
20030519,85.0313,92.5313,27.6875,33.5938,24.7813,,,,,
20030520,85.0625,92.4375,27.7500,33.3125,24.6250,,,,,
20030521,85.2188,92.6875,27.7188,33.5313,24.0313,,,,,
20030522,86.0313,93.5625,28.0625,33.5938,24.1563,,,,,
20030523,86.2188,93.7500,28.0938,33.2500,24.2188,,,,,
20030527,87.8438,95.3750,29.0938,34.8750,24.7813,,,,,
20030528,88.0000,95.6563,29.1875,34.6875,24.4063,,,,,
20030529,87.3750,95.4063,29.2813,34.5625,24.3750,,,,,
20030530,88.8125,96.9375,29.7813,35.3125,24.5938,,,,,
20030602,89.2500,97.2188,29.5000,36.3125,24.6250,,,,,
20030603,89.5313,97.7500,29.8438,35.9375,24.8750,,,,,
20030604,90.6875,99.1563,30.4063,35.8438,24.8438,,,,,
20030605,90.6563,99.5000,30.5938,35.5625,24.0938,,,,,
20030606,90.8438,99.2500,30.1250,35.7188,23.6563,,,,,
20030609,90.2188,98.2500,29.7188,35.2813,23.7500,,,,,
20030610,90.4063,98.3125,29.6875,35.6875,24.1563,,,,,
20030611,92.0938,100.2813,30.5000,37.1250,24.8750,,,,,
20030612,92.4063,100.5938,30.6250,37.0938,24.9688,,,,,
20030613,91.5625,99.5313,29.9375,36.1875,24.6250,,,,,
20030616,93.5000,101.6563,30.8750,37.0938,25.3750,,,,,
20030617,93.5000,101.7188,30.7813,38.1250,25.9688,,,,,
20030618,93.2500,101.5625,30.9063,38.5313,26.0625,,,,,
20030619,93.2500,101.3438,31.0313,38.1563,26.2500,,,,,
20030620,91.8125,99.4375,30.3750,38.5625,26.3125,,,,,
20030623,90.8750,98.4063,29.9063,37.3750,25.7500,,,,,
20030624,91.1875,98.5625,29.6250,36.8750,25.6875,,,,,
20030625,90.0625,97.5000,29.5000,36.5938,25.2500,,,,,
20030626,90.6563,98.4375,30.0000,36.1875,25.5938,,,,,
20030627,89.8438,97.6563,29.8125,36.0938,25.6250,,,,,
20030630,89.9375,97.6875,29.8750,36.0000,25.5938,,,,,
20030701,90.5625,98.5000,30.3438,35.7188,26.1250,,,,,
20030702,91.6563,99.7500,30.9688,35.9375,26.8750,,,,,
20030703,90.6875,98.7188,30.5625,35.7500,26.4375,,,,,
20030707,92.3438,100.6875,31.8750,35.8750,27.4063,,,,,
20030708,92.4375,101.1250,32.2500,36.5625,27.6875,,,,,
20030709,91.8125,100.5625,32.1875,36.1250,27.4688,,,,,
20030710,90.5625,99.2813,31.5938,35.6875,26.9063,,,,,
20030711,91.3750,100.2188,31.8125,35.7188,27.2813,,,,,
20030714,91.8438,100.7188,32.2188,36.2813,27.3750,,,,,
20030715,91.5625,100.5000,32.2500,36.2500,27.2500,,,,,
20030716,91.2500,100.6563,32.1563,35.9063,27.5000,,,,,
20030717,90.7188,98.5000,31.1563,35.7188,26.6875,,,,,
20030718,91.8125,99.5000,31.2500,35.8438,26.8750,,,,,
20030721,91.0625,98.1875,30.8438,35.9688,26.0313,,,,,
20030722,91.6563,99.1563,31.3125,36.0313,26.3750,,,,,
20030723,92.0313,99.2188,31.5938,36.1875,26.4375,,,,,
20030724,91.2188,98.4688,31.1563,36.2500,26.0000,,,,,
20030725,91.2500,98.3750,30.8438,36.3750,26.1250,,,,,
20030728,92.7188,99.9688,31.8438,37.2500,26.5938,,,,,
20030729,92.2500,99.3750,31.6250,36.9063,26.4688,,,,,
20030730,92.1563,99.2188,31.4375,36.8438,26.2188,,,,,
20030731,92.4688,99.7500,31.7813,37.4063,26.4063,,,,,
20030801,91.7813,98.5938,31.5000,37.2500,26.4375,,,,,
20030804,91.0313,97.7500,31.0938,36.5000,25.8438,,,,,
20030805,90.0000,96.4063,30.1875,36.1875,25.6563,,,,,
20030806,90.6563,97.3125,30.5000,36.5313,25.9375,,,,,
20030807,91.0000,97.2813,30.1875,36.4063,25.5000,,,,,
20030808,92.1875,98.2500,30.0625,36.9688,25.5625,,,,,
20030811,92.0938,98.3438,30.4375,37.0313,25.7813,,,,,
20030812,93.2500,99.5313,30.8438,37.6250,25.7188,,,,,
20030813,93.0000,98.9375,30.7500,37.1250,25.6250,,,,,
20030814,93.1875,99.2500,30.9375,37.1250,25.5938,,,,,
20030815,93.3125,99.5938,31.1563,37.0938,25.5313,,,,,
20030818,94.2813,100.4688,31.9688,38.0313,25.6875,,,,,
20030819,94.4688,100.8438,32.3438,38.5313,26.5938,,,,,
20030820,94.1563,100.4375,32.2813,38.5000,26.4375,,,,,
20030821,94.4375,100.8438,32.6563,39.1250,26.2188,,,,,
20030822,93.6875,99.7500,32.4063,38.6563,26.2188,,,,,
20030825,93.4688,99.9063,32.5000,38.4375,26.5000,,,,,
20030826,93.6250,100.1563,32.5000,39.0313,26.5625,,,,,
20030827,93.5000,100.1250,32.7813,39.3750,26.4063,,,,,
20030828,93.9688,100.7500,33.0625,40.4063,26.5000,,,,,
20030829,94.4063,101.4375,33.3750,41.0938,26.5000,,,,,
20030902,95.4375,102.7188,33.8125,42.4688,27.2500,,,,,
20030903,96.0000,103.3438,33.8438,42.5938,28.2813,,,,,
20030904,96.1250,103.4063,34.1250,42.4688,28.4375,,,,,
20030905,95.3750,102.8125,33.9375,41.6875,28.3750,,,,,
20030908,96.0938,103.6563,34.5000,42.5000,28.8125,,,,,
20030909,95.4375,103.0000,34.0625,41.5938,28.3438,,,,,
20030910,94.6563,101.9375,33.2500,40.8750,27.5313,,,,,
20030911,94.9688,102.2500,33.6250,40.9375,27.8125,,,,,
20030912,95.0313,102.4375,33.8125,41.5000,28.3125,,,,,
20030915,94.8125,102.0625,33.4688,41.2500,28.3438,,,,,
20030916,96.0000,103.5625,34.3750,41.8750,28.9063,,,,,
20030917,95.9375,103.3750,34.2500,41.6875,28.5000,,,,,
20030918,96.9375,104.5938,34.7500,41.9375,29.5000,,,,,
20030919,96.4688,103.6563,34.5625,41.8750,29.9375,,,,,
20030922,95.5313,102.5313,33.9063,41.3125,29.0625,,,,,
20030923,95.7813,103.0000,34.4688,41.6563,29.5938,,,,,
20030924,94.4375,101.0938,33.2188,40.8125,28.4375,,,,,
20030925,93.4688,100.5000,32.9063,40.7813,28.2188,,,,,
20030926,93.2813,99.9375,32.5625,40.4375,28.1875,,,,,
20030929,93.9063,100.9063,33.1250,40.5938,28.8125,,,,,
20030930,93.1250,99.9375,32.4063,40.9063,27.7813,,,,,
20031001,94.7813,102.0625,33.1250,40.5313,28.5000,,,,,
20031002,95.1875,102.4375,33.2500,40.8125,28.5000,,,,,
20031003,95.9063,103.3750,34.1875,41.4375,29.0625,,,,,
20031006,96.1875,103.8438,34.4375,41.8125,29.1875,,,,,
20031007,96.6875,104.2500,34.6250,42.0938,29.1250,,,,,
20031008,96.7188,104.0000,34.4063,42.1250,28.8125,,,,,
20031009,96.9688,104.1563,34.6250,42.3750,28.8750,,,,,
20031010,97.2813,104.5625,35.0000,42.7813,28.9063,,,,,
20031013,97.8750,104.8750,35.2188,43.5313,28.7500,,,,,
20031014,98.3438,105.3750,35.3438,43.9688,28.6563,,,,,
20031015,98.2188,104.9688,35.1563,43.5313,29.0625,,,,,
20031016,98.1563,105.4063,35.4375,43.8125,29.2188,,,,,
20031017,97.2813,104.2500,34.5938,43.1250,28.9063,,,,,
20031020,97.9688,105.0313,35.0313,43.3438,29.3438,,,,,
20031021,97.5625,104.8750,35.2813,42.7500,29.3438,,,,,
20031022,96.1875,103.5313,34.5625,41.8750,28.8750,,,,,
20031023,95.9375,103.3438,34.1563,42.0625,28.9063,,,,,
20031024,96.1563,103.5625,34.1875,41.8125,26.5938,,,,,
20031027,96.2813,103.6250,34.1875,42.2500,26.9063,,,,,
20031028,97.6250,105.0625,35.3438,43.1250,27.1875,,,,,
20031029,97.8438,105.1563,35.3125,42.9375,26.7188,,,,,
20031030,98.0938,105.1563,35.2500,42.8750,26.0938,,,,,
20031031,98.0000,105.2813,35.1563,42.6563,26.1250,,,,,
20031103,98.5000,105.9688,35.7500,42.8750,26.6563,,,,,
20031104,98.5625,105.7500,35.5000,42.8750,26.0625,,,,,
20031105,98.5313,105.8125,35.8125,42.9375,26.0938,,,,,
20031106,98.9063,106.3750,35.9063,42.8750,26.2188,,,,,
20031107,98.0938,105.5938,35.6250,42.9063,26.0938,,,,,
20031110,97.7813,105.1563,35.1875,42.0313,26.0000,,,,,
20031111,97.6250,105.1250,35.0313,42.0313,25.7813,,,,,
20031112,98.7813,106.3125,35.7813,42.7188,25.9688,,,,,
20031113,98.7188,106.3438,35.7500,42.8125,25.6875,,,,,
20031114,97.9688,105.4375,35.0313,42.2500,25.5000,,,,,
20031117,97.5313,104.9063,34.6563,41.8750,25.1250,,,,,
20031118,96.5938,103.8125,33.8750,41.5938,25.1250,,,,,
20031119,97.3750,104.7188,34.1875,42.1875,25.3438,,,,,
20031120,96.5313,103.7813,33.8750,41.6563,25.0938,,,,,
20031121,96.4688,104.1875,34.2188,41.5938,25.0938,,,,,
20031124,97.4688,105.5625,35.1563,42.3750,25.7188,,,,,
20031125,97.6875,105.9375,35.1250,42.5938,25.3750,,,,,
20031126,97.8750,106.3438,35.3125,42.6250,25.4375,,,,,
20031128,98.0625,106.4375,35.3750,42.7500,25.6875,,,,,
20031201,99.0938,107.5938,35.8750,43.1250,25.8125,,,,,
20031202,98.7500,107.3125,35.6875,43.2500,25.6563,,,,,
20031203,98.9375,107.1563,35.2500,45.5313,25.6563,,,,,
20031204,99.4375,107.5938,35.6250,46.4688,26.1875,,,,,
20031205,98.7813,106.8438,35.0313,46.0313,25.9688,,,,,
20031208,99.7813,107.5625,35.2188,47.1250,26.2188,,,,,
20031209,99.4375,106.7188,34.4063,48.4063,26.3750,,,,,
20031210,99.5938,106.7188,34.5313,48.3750,26.5625,,,,,
20031211,100.3750,107.9063,35.2813,48.9063,26.5938,,,,,
20031212,100.6250,108.1250,35.2188,49.7813,26.6250,,,,,
20031215,100.4375,107.5938,34.7500,48.9063,26.7188,,,,,
20031216,101.5000,108.1563,34.8438,49.5938,27.0313,,,,,
20031217,101.8438,108.5000,34.9063,49.8438,27.0313,,,,,
20031218,102.7813,109.7188,35.5313,50.3750,27.3750,,,,,
20031219,102.7188,108.8750,35.4375,50.3438,27.3438,,,,,
20031222,103.5938,109.6563,35.5625,52.4063,27.1563,,,,,
20031223,103.4375,109.7188,35.8125,51.9688,27.1250,,,,,
20031224,103.1875,109.5938,35.8750,53.3438,27.0000,,,,,
20031226,103.2500,109.6875,35.8438,52.9688,27.1875,,,,,
20031229,104.6875,111.2500,36.4688,53.6875,27.4688,,,,,
20031230,104.3125,111.1563,36.5313,53.5313,27.5000,,,,,
20031231,104.5625,111.2500,36.4375,53.3750,27.3438,,,,,
